,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Viscosity Value (Pa * s),Viscosity Uncertainty (Pa * s),Source
0,b62f2ea4a5844fb8947aa9f64b47ae11,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
2,8ef1ecd904b7409baf4657282d284d04,298.15,101.0,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,,,,,0.000898,2.25e-05,10.1007/s10765-005-5572-8
4,a7f5cb8ff84f4dd4a46eaa7141c36467,298.15,101.0,Liquid,1,CCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.000859,2.15e-05,10.1007/s10765-005-5572-8
6,0dbfc59b77e340168fb379a19dd27e52,298.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.003039,6.85e-05,10.1007/s10765-005-5572-8
8,81976dd842494a7e834c5a3011d32322,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
22,ae8e5f7d8d7c45cab37d3205939c45c7,298.15,101.0,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,,,,,0.000898,2.25e-05,10.1007/s10765-005-5572-8
38,eeec2c6b51dc4e0f9d6e6b2b7e228a91,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
52,a49bc0c125934a43bf00a404461a98bf,298.15,101.0,Liquid,1,CCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.000859,2.15e-05,10.1007/s10765-005-5572-8
68,27f26c1bbf5c4df6abbef5499b6e3a2b,298.15,101.0,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.000294,9.5e-06,10.1007/s10765-005-5572-8
82,797fcbb91dcb40a99d6be25c3b6ec01e,298.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.003039,6.85e-05,10.1007/s10765-005-5572-8
3,6c9845f9ce5e42d69e45b232eb806672,303.15,101.0,Liquid,1,C1COCO1,Solvent,1.0,,,,,,,,,,0.0005486,1.495e-05,10.1007/s10765-007-0220-0
0,a8ce645000394e3a81caeca767d48925,298.15,101.325,Liquid,1,OCCOCCO,Solvent,1.0,,,,,,,,,,0.030012,0.0004975,10.1007/s10765-008-0399-8
6,aac209f2b0f94ac8bc6785369c327357,298.15,101.325,Liquid,1,OCCOCCOCCO,Solvent,1.0,,,,,,,,,,0.030012,0.0004975,10.1007/s10765-008-0399-8
12,22a5b5b96d5e4ee28e445dcf1e4adeb3,298.15,101.325,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,,,,,0.000755,2.15e-05,10.1007/s10765-008-0399-8
18,db9f02d01ec04eae848c312cf2eb809c,298.15,101.325,Liquid,1,Brc1ccccc1,Solvent,1.0,,,,,,,,,,0.001041,2.65e-05,10.1007/s10765-008-0399-8
24,5adfd68a14c64bcfb113ad5c1bafede3,298.15,101.325,Liquid,1,O=[N+]([O-])c1ccccc1,Solvent,1.0,,,,,,,,,,0.001791,4.25e-05,10.1007/s10765-008-0399-8
1,d71a36b113fb4aac876de8a2c366ac85,303.0,101.3,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000518,7.15e-06,10.1007/s10765-008-0444-7
7,7e01b85d78394837a57e6bb475a939b6,303.0,101.3,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,,,,,0.000721,9.95e-06,10.1007/s10765-008-0444-7
13,f09b477cd70b49659250c052560ac4a1,303.0,101.3,Liquid,1,Brc1ccccc1,Solvent,1.0,,,,,,,,,,0.0009844,1.355e-05,10.1007/s10765-008-0444-7
29,904888485fc7442d8bf00568aea11bcb,303.0,101.0,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,,,,,0.000721,9.95e-06,10.1007/s10765-008-0444-7
39,b37bf32f8b224bb0b822658a04927898,303.0,101.0,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000518,7.15e-06,10.1007/s10765-008-0444-7
95,ec4d18a438f54e0f9529eb715b53cd4d,303.0,101.0,Liquid,1,Brc1ccccc1,Solvent,1.0,,,,,,,,,,0.0009844,1.355e-05,10.1007/s10765-008-0444-7
105,2aed65c7435a4bc9b13235985ebd90c0,303.0,101.0,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000518,7.15e-06,10.1007/s10765-008-0444-7
0,d2bb8d082feb41ed99a73166ed0f2cf5,298.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.003041,9.5e-06,10.1007/s10765-008-0491-0
15,9bae760373394c399c8ec9b30297f9b6,298.15,101.0,Liquid,1,CCCCCCCCO,Solvent,1.0,,,,,,,,,,0.007508,2.1e-05,10.1007/s10765-008-0491-0
16,42f40259a1544529967c12d8024a231c,303.15,101.0,Liquid,1,CCCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.002706,8.5e-06,10.1007/s10765-008-0491-0
31,4df8e07e32ca4353a89b2d910881ab53,303.15,101.0,Liquid,1,CCCCCCCCO,Solvent,1.0,,,,,,,,,,0.006344,1.8e-05,10.1007/s10765-008-0491-0
0,7e1eb017161248c698ad69d888a31276,298.15,101.325,Liquid,1,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.0341,0.0005,10.1007/s10765-008-0497-7
1,1dab525a5ad744fca6404ff15be9c27e,298.15,101.325,Liquid,1,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.03429,0.00013,10.1007/s10765-008-0497-7
37,18e74824bb9543ccb137657a0a6c00eb,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.0715,0.0012,10.1007/s10765-008-0497-7
38,5913c64316d6477385229f820f42c39b,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.071,0.00035,10.1007/s10765-008-0497-7
74,8001cddb83584d28be74986da4d4da89,298.15,101.325,Liquid,1,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.1112,0.00225,10.1007/s10765-008-0497-7
75,195455faa76e4ef29783426bff5d0c8c,298.15,101.325,Liquid,1,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Solvent,1.0,,,,,,,,,,0.1082,0.00055,10.1007/s10765-008-0497-7
111,976b3551b22a473abf8bf23aaa2d85f8,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.2104,0.0058,10.1007/s10765-008-0497-7
112,d89c0c41c5514c36997bd5e3c5d94d11,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,Solvent,1.0,,,,,,,,,,0.2024,0.00105,10.1007/s10765-008-0497-7
148,ce5d154ca794408abd4dbb9b364c4f5a,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Solvent,1.0,,,,,,,,,,0.4895,0.0198,10.1007/s10765-008-0497-7
149,18c66825a62b4a4ca409a735e42881f2,298.15,101.325,Liquid,1,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Solvent,1.0,,,,,,,,,,0.4814,0.00285,10.1007/s10765-008-0497-7
0,f0e8b8afa2e84db6a26be5ece09bc086,298.15,101.0,Liquid,1,C=CC(=O)OC,Solvent,1.0,,,,,,,,,,0.000461,4e-06,10.1007/s10765-009-0562-x
1,46ce612af38c485eba66d1f9c2c0278a,303.15,101.0,Liquid,1,C=CC(=O)OC,Solvent,1.0,,,,,,,,,,0.00042,3.5e-06,10.1007/s10765-009-0562-x
8,3dfe1a7b63a74de58a03c363ba24945e,298.15,101.0,Liquid,1,C=CC(=O)OCC,Solvent,1.0,,,,,,,,,,0.00053,4e-06,10.1007/s10765-009-0562-x
9,4f34c2d8c31a469aae07e6a50c60cb86,303.15,101.0,Liquid,1,C=CC(=O)OCC,Solvent,1.0,,,,,,,,,,0.000502,4e-06,10.1007/s10765-009-0562-x
16,cdd7c8a272bb407ea5edcc1a16229657,298.15,101.0,Liquid,1,C=CC(=O)OCCCC,Solvent,1.0,,,,,,,,,,0.000838,5.5e-06,10.1007/s10765-009-0562-x
17,99420d5f745e41cbba0d193f9a664d4f,303.15,101.0,Liquid,1,C=CC(=O)OCCCC,Solvent,1.0,,,,,,,,,,0.000781,5e-06,10.1007/s10765-009-0562-x
24,cbc47c2ccd34414a8607b39ed61cf618,298.15,101.0,Liquid,1,C=Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.000695,4.5e-06,10.1007/s10765-009-0562-x
25,7c493c1e023946d28384d6b67cbee29e,303.15,101.0,Liquid,1,C=Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.000654,4.5e-06,10.1007/s10765-009-0562-x
32,16470bbf6c98422a9217c1a640dd2b9e,298.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000603,4.5e-06,10.1007/s10765-009-0562-x
33,fd0fa53d6672426ab1d521c7578f5a86,303.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000562,4.5e-06,10.1007/s10765-009-0562-x
43,0ca7d66e952b431d95d975245fbb11cf,298.15,101.0,Liquid,1,C=CC(=O)OCC,Solvent,1.0,,,,,,,,,,0.00053,4e-06,10.1007/s10765-009-0562-x
53,e6ade3f751fa4daeac46b084270520b3,298.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000603,4.5e-06,10.1007/s10765-009-0562-x
54,1c7d453bf1304175b83f7e1284c91f73,303.15,101.0,Liquid,1,C=CC(=O)OCC,Solvent,1.0,,,,,,,,,,0.000502,4e-06,10.1007/s10765-009-0562-x
64,5c79b2770da64aa0b75cb4ab07233119,303.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000562,4.5e-06,10.1007/s10765-009-0562-x
131,c5d0ef1a6d8f473496789a2e334bc142,298.15,101.0,Liquid,1,C=CC(=O)OCCCC,Solvent,1.0,,,,,,,,,,0.000838,5.5e-06,10.1007/s10765-009-0562-x
141,635f6d025ef34f958a5dd29b08e49532,298.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000603,4.5e-06,10.1007/s10765-009-0562-x
142,3dc647aa2a8648018143851b6bf2b0c4,303.15,101.0,Liquid,1,C=CC(=O)OCCCC,Solvent,1.0,,,,,,,,,,0.000781,5e-06,10.1007/s10765-009-0562-x
152,36579bcf37dd437e82d31257fbb1557b,303.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000562,4.5e-06,10.1007/s10765-009-0562-x
219,4fdfd1c805ac42349d9a23bacda05153,298.15,101.0,Liquid,1,C=CC(=O)OC,Solvent,1.0,,,,,,,,,,0.000461,4e-06,10.1007/s10765-009-0562-x
229,be80c7bc78494241b164e6272b42e7e0,298.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000603,4.5e-06,10.1007/s10765-009-0562-x
230,1424300585ad4078917b013b74cbb922,303.15,101.0,Liquid,1,C=CC(=O)OC,Solvent,1.0,,,,,,,,,,0.00042,3.5e-06,10.1007/s10765-009-0562-x
240,78f879cc56664dbca91af12e09876284,303.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000562,4.5e-06,10.1007/s10765-009-0562-x
307,413e1eca481f44379bd3c8e8fae7237e,298.15,101.0,Liquid,1,C=Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.000695,4.5e-06,10.1007/s10765-009-0562-x
317,648ab2cf2cfd47829879c57783326687,298.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000603,4.5e-06,10.1007/s10765-009-0562-x
318,c46011924ad147d5a01854627320c52f,303.15,101.0,Liquid,1,C=Cc1ccccc1,Solvent,1.0,,,,,,,,,,0.000654,4.5e-06,10.1007/s10765-009-0562-x
328,1e18dada64b34da7addb0376d3e33322,303.15,101.0,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,,,0.000562,4.5e-06,10.1007/s10765-009-0562-x
1,569914207bca4fbf856bf70a7ae15e07,298.15,101.325,Liquid,1,CCCCCC,Solvent,1.0,,,,,,,,,,0.0002973,3.1e-06,10.1007/s10765-009-0622-2
3,def8e2884404431bbfd8b0ec0e72093e,298.15,101.325,Liquid,1,CCc1ccccc1,Solvent,1.0,,,,,,,,,,0.0006369,5.65e-06,10.1007/s10765-009-0622-2
5,b12a7a4a88034ac9aad4004f8dd0a89e,298.15,101.325,Liquid,1,Cc1ccccc1C,Solvent,1.0,,,,,,,,,,0.0007506,6.5e-06,10.1007/s10765-009-0622-2
7,9f32d7c71ecc434a995b4cb4cc55761e,298.15,101.325,Liquid,1,Cc1cccc(C)c1,Solvent,1.0,,,,,,,,,,0.000583,5.25e-06,10.1007/s10765-009-0622-2
9,aa578b4db806466e9591ce4913d0348a,298.15,101.325,Liquid,1,Cc1ccc(C)cc1,Solvent,1.0,,,,,,,,,,0.0005999,5.4e-06,10.1007/s10765-009-0622-2
0,1828b0e3bf3244da9805647a1f46ae8d,303.15,101.0,Liquid,1,COCCO,Solvent,1.0,,,,,,,,,,0.0015496,1.82e-05,10.1007/s10765-010-0719-7
6,5b5710fa578b41568172eb560fbb75c6,303.15,101.0,Liquid,1,CC(C)CCO,Solvent,1.0,,,,,,,,,,0.0032622,3.63e-05,10.1007/s10765-010-0719-7
12,7894446302a1483db204b5b6eb5e366f,303.15,101.0,Liquid,1,CCOCCO,Solvent,1.0,,,,,,,,,,0.0016226,1.9e-05,10.1007/s10765-010-0719-7
18,cbfd427806b047ba99dfb9188cdc3654,303.15,101.0,Liquid,1,CCCCOCCO,Solvent,1.0,,,,,,,,,,0.0024864,2.815e-05,10.1007/s10765-010-0719-7
24,64b4a9b6bc214c25905683daabc1738d,303.15,101.0,Liquid,1,CCOCCO,Solvent,1.0,,,,,,,,,,0.0016226,1.9e-05,10.1007/s10765-010-0719-7
34,f44850c1a9474e1bb9b23c7611184bf2,303.15,101.0,Liquid,1,CC(C)CCO,Solvent,1.0,,,,,,,,,,0.0032622,3.63e-05,10.1007/s10765-010-0719-7
90,c3ee13b784704385929e75e6d9c94937,303.15,101.0,Liquid,1,COCCO,Solvent,1.0,,,,,,,,,,0.0015496,1.82e-05,10.1007/s10765-010-0719-7
100,7206b5132bbd4ff7b002df1603e8db1f,303.15,101.0,Liquid,1,CC(C)CCO,Solvent,1.0,,,,,,,,,,0.0032622,3.63e-05,10.1007/s10765-010-0719-7
156,e001ae0aad4b492c933121a650e6268d,303.15,101.0,Liquid,1,CCCCOCCO,Solvent,1.0,,,,,,,,,,0.0024864,2.815e-05,10.1007/s10765-010-0719-7
166,c25791664fdf4ba7aa4e1acd80f7a8fb,303.15,101.0,Liquid,1,CC(C)CCO,Solvent,1.0,,,,,,,,,,0.0032622,3.63e-05,10.1007/s10765-010-0719-7
3,ec93322322b34ba1909556f5dd34fb8c,298.15,101.0,Liquid,1,CCCCCl,Solvent,1.0,,,,,,,,,,0.0004214,2.25e-06,10.1007/s10765-010-0737-5
4,541785d109084b4aae65252d7dc0f5a9,303.15,101.0,Liquid,1,CCCCCl,Solvent,1.0,,,,,,,,,,0.000405,2.15e-06,10.1007/s10765-010-0737-5
17,800686ca23714d0991c219535f1c9ecc,298.15,101.0,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,,,,,0.0004768,2.45e-06,10.1007/s10765-010-0737-5
18,8dccb131922e431d9237ce60774b485a,303.15,101.0,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,,,,,0.0004438,2.35e-06,10.1007/s10765-010-0737-5
31,18abf3d9a79b4e96b5267b1eaedcf45d,298.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003178,1.8e-06,10.1007/s10765-010-0737-5
32,280bdedc3f46447082a0eaec5b27917f,303.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003001,1.7e-06,10.1007/s10765-010-0737-5
45,633ad8f7c961461abff10b1cc47320c3,298.15,101.0,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,,,,,0.0004296,2.25e-06,10.1007/s10765-010-0737-5
46,90186e6d98034a878da5adb0e97adacf,303.15,101.0,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,,,,,0.0004112,2.2e-06,10.1007/s10765-010-0737-5
95,b6820e5bd60649b68bb3e79798ce5046,298.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003178,1.8e-06,10.1007/s10765-010-0737-5
107,20b31a4b32a84bcd99f9fafe64ee234a,298.15,101.0,Liquid,1,CCCCCl,Solvent,1.0,,,,,,,,,,0.0004214,2.25e-06,10.1007/s10765-010-0737-5
108,f2dd1f39eeb14284a0afa0b9b5d836fd,303.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003001,1.7e-06,10.1007/s10765-010-0737-5
120,5c54838436ec49e6b572716c9ad5c2f5,303.15,101.0,Liquid,1,CCCCCl,Solvent,1.0,,,,,,,,,,0.000405,2.15e-06,10.1007/s10765-010-0737-5
277,1fbb87512741426a909a2c9ddaada655,298.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003178,1.8e-06,10.1007/s10765-010-0737-5
289,e4f3ae51e34b428b841f441fda07b8f4,298.15,101.0,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,,,,,0.0004296,2.25e-06,10.1007/s10765-010-0737-5
290,4e44e18be580478299b32a69402a525d,303.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003001,1.7e-06,10.1007/s10765-010-0737-5
302,579b74db69284d92b9bd59a0b3dc307a,303.15,101.0,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,,,,,0.0004112,2.2e-06,10.1007/s10765-010-0737-5
459,b7222f210a234c63bd60cc77e96ac1f2,298.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003178,1.8e-06,10.1007/s10765-010-0737-5
471,3cc0a86b7f1a4e0dac9b513a1d532801,298.15,101.0,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,,,,,0.0004768,2.45e-06,10.1007/s10765-010-0737-5
472,764ce261786149fdb506cc8d841567f7,303.15,101.0,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,,,0.0003001,1.7e-06,10.1007/s10765-010-0737-5
484,93a9b09f5dea4816a6352ce8d57d59b0,303.15,101.0,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,,,,,0.0004438,2.35e-06,10.1007/s10765-010-0737-5
0,cff7f723dadf4596b1bdbecafaf6ac02,298.15,101.0,Liquid,1,NC1CCCCC1,Solvent,1.0,,,,,,,,,,0.001753,6.5e-06,10.1007/s10765-010-0752-6
2,7d2abf3a9e8e4d84aee8859bb142ef97,298.15,101.0,Liquid,1,CCCCOC(C)=O,Solvent,1.0,,,,,,,,,,0.000668,3e-06,10.1007/s10765-010-0752-6
4,68f95d2f6c83473580abd20e60e489e7,298.15,101.0,Liquid,1,CCC(C)=O,Solvent,1.0,,,,,,,,,,0.0004,2e-06,10.1007/s10765-010-0752-6
6,2c18ba256a87486abfe746d1c468688a,298.15,101.0,Liquid,1,CCCCN,Solvent,1.0,,,,,,,,,,0.000493,2.5e-06,10.1007/s10765-010-0752-6
8,6b5140f4e9ed41b892b7b584111476ab,298.15,101.0,Liquid,1,CC(C)(C)N,Solvent,1.0,,,,,,,,,,0.000439,2e-06,10.1007/s10765-010-0752-6
9,cfc9ed18816a491fb45c5cc0f7e0e3ef,298.15,101.0,Liquid,1,CC(C)(C)N,Solvent,1.0,,,,,,,,,,0.0004394,2.05e-06,10.1007/s10765-010-0752-6
11,d798101c3abf4aef80a26a8de436a9e4,298.15,101.0,Liquid,1,CCCCOCCO,Solvent,1.0,,,,,,,,,,0.002782,1e-05,10.1007/s10765-010-0752-6
13,1cf2cb9baf0e4bf8aa1c21bb9c8312a9,298.15,101.0,Liquid,1,O=C1CCCCC1,Solvent,1.0,,,,,,,,,,0.00202,7.5e-06,10.1007/s10765-010-0752-6
15,09077af97127459bb57ec609e3e8d2c9,298.15,101.0,Liquid,1,CCCCOC(C)=O,Solvent,1.0,,,,,,,,,,0.000668,2.85e-06,10.1007/s10765-010-0752-6
25,7cb8d8168fb74ef2afabc2fd0f194451,298.15,101.0,Liquid,1,NC1CCCCC1,Solvent,1.0,,,,,,,,,,0.001753,6.65e-06,10.1007/s10765-010-0752-6
37,ebbb1f7781994160a1e81b649a40f7e5,298.15,101.0,Liquid,1,CCC(C)=O,Solvent,1.0,,,,,,,,,,0.0004,1.9e-06,10.1007/s10765-010-0752-6
47,fbeeb449937f40938faf6c1df984e802,298.15,101.0,Liquid,1,NC1CCCCC1,Solvent,1.0,,,,,,,,,,0.001753,6.65e-06,10.1007/s10765-010-0752-6
59,70890e0b5bec44aaace27aa31c118e15,298.15,101.0,Liquid,1,CCCCN,Solvent,1.0,,,,,,,,,,0.000493,2.25e-06,10.1007/s10765-010-0752-6
69,6e1f32ae3c1f45b3817c234faca64ece,298.15,101.0,Liquid,1,NC1CCCCC1,Solvent,1.0,,,,,,,,,,0.001753,6.65e-06,10.1007/s10765-010-0752-6
81,7df2d86709f64bf7a80afb7f74a834b7,298.15,101.0,Liquid,1,CC(C)(C)N,Solvent,1.0,,,,,,,,,,0.0004394,2.05e-06,10.1007/s10765-010-0752-6
91,234d6b6f9af14da19c08dccace768b28,298.15,101.0,Liquid,1,NC1CCCCC1,Solvent,1.0,,,,,,,,,,0.001753,6.65e-06,10.1007/s10765-010-0752-6
103,d23ff4d30a8b4598b710d80c0c70df60,298.15,101.0,Liquid,1,CCCCOCCO,Solvent,1.0,,,,,,,,,,0.002782,1.02e-05,10.1007/s10765-010-0752-6
113,b52c4eedd9024133b199d0032f0f38b9,298.15,101.0,Liquid,1,NC1CCCCC1,Solvent,1.0,,,,,,,,,,0.001753,6.65e-06,10.1007/s10765-010-0752-6
125,b9bd4d8c2b6f4295bce94996194abe82,298.15,101.0,Liquid,1,CCCCOC(C)=O,Solvent,1.0,,,,,,,,,,0.000668,3e-06,10.1007/s10765-010-0752-6
135,475eacd6838b4d69a2640de54d1e55e3,298.15,101.0,Liquid,1,O=C1CCCCC1,Solvent,1.0,,,,,,,,,,0.00202,7.5e-06,10.1007/s10765-010-0752-6
147,d19f86ba888743b89e6b9c849b02171b,298.15,101.0,Liquid,1,CCC(C)=O,Solvent,1.0,,,,,,,,,,0.0004,2e-06,10.1007/s10765-010-0752-6
157,fc3540b1b4ac4f939c262ba80c9fa3bd,298.15,101.0,Liquid,1,O=C1CCCCC1,Solvent,1.0,,,,,,,,,,0.00202,7.5e-06,10.1007/s10765-010-0752-6
169,1b527811f7d34a47847a1075dda0c759,298.15,101.0,Liquid,1,CCCCN,Solvent,1.0,,,,,,,,,,0.000493,2.5e-06,10.1007/s10765-010-0752-6
179,4956fb22d34a4da5b33165c3d060d44d,298.15,101.0,Liquid,1,O=C1CCCCC1,Solvent,1.0,,,,,,,,,,0.00202,7.5e-06,10.1007/s10765-010-0752-6
191,58628cb11a6d45f7b69af8fb3378f4f3,298.15,101.0,Liquid,1,CC(C)(C)N,Solvent,1.0,,,,,,,,,,0.000439,2e-06,10.1007/s10765-010-0752-6
201,d6f65c08552b48cd8e387b31cae6cb26,298.15,101.0,Liquid,1,O=C1CCCCC1,Solvent,1.0,,,,,,,,,,0.00202,7.5e-06,10.1007/s10765-010-0752-6
213,9d41978499e643d2aa94787c514f4d02,298.15,101.0,Liquid,1,CCCCOCCO,Solvent,1.0,,,,,,,,,,0.002782,1e-05,10.1007/s10765-010-0752-6
223,a16ae78bd2a34d9d8009be4803e39c3f,298.15,101.0,Liquid,1,O=C1CCCCC1,Solvent,1.0,,,,,,,,,,0.00202,7.5e-06,10.1007/s10765-010-0752-6
1,9ae9880abed2431cace018b936e58bff,298.15,101.0,Liquid,1,C1CCOC1,Solvent,1.0,,,,,,,,,,0.000462,2e-06,10.1007/s10765-010-0860-3
7,2afae2c287844da49c63d6ccb5cf4e22,298.15,101.0,Liquid,1,C1COCCO1,Solvent,1.0,,,,,,,,,,0.001185,5e-06,10.1007/s10765-010-0860-3
13,593a7367cbed4d46b162ce5f66375eea,298.15,101.0,Liquid,1,CC(=O)CC(C)=O,Solvent,1.0,,,,,,,,,,0.00067,3e-06,10.1007/s10765-010-0860-3
1,571fc40ec1f14d3d82c695a40a5c7da4,298.15,101.0,Liquid,1,COP(C)(=O)OC,Solvent,1.0,,,,,,,,,,0.001587,3.2e-05,10.1007/s10765-011-0989-8
2,fc480d73890b4af79133783aa4e69eb4,303.15,101.0,Liquid,1,COP(C)(=O)OC,Solvent,1.0,,,,,,,,,,0.001447,2.95e-05,10.1007/s10765-011-0989-8
15,442d4771a4104933930fc31e68d9a5db,298.15,101.0,Liquid,1,CO[PH](=O)OC,Solvent,1.0,,,,,,,,,,0.001273,2.65e-05,10.1007/s10765-011-0989-8
16,d9d86b3deeaa45659d09b2b1490cfc3c,303.15,101.0,Liquid,1,CO[PH](=O)OC,Solvent,1.0,,,,,,,,,,0.001179,2.45e-05,10.1007/s10765-011-0989-8
29,4360a3108e684701ab8d0199feaf6191,298.15,101.0,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000552,1.15e-05,10.1007/s10765-011-0989-8
30,ed909dc41c404253bfd0bd9c4c21be11,303.15,101.0,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000514,1.05e-05,10.1007/s10765-011-0989-8
43,f7b752c5385741f3a97fbb2a8d88060d,298.15,101.0,Liquid,1,COP(C)(=O)OC,Solvent,1.0,,,,,,,,,,0.001587,3.2e-05,10.1007/s10765-011-0989-8
44,d332549a6e7f492386b18619bcca90ca,303.15,101.0,Liquid,1,COP(C)(=O)OC,Solvent,1.0,,,,,,,,,,0.001447,2.95e-05,10.1007/s10765-011-0989-8
113,294aa7909b5341c8a76922faf227ab4f,298.15,101.0,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000552,1.15e-05,10.1007/s10765-011-0989-8
114,fef5c1ca4e3645e49823a85b5a04568f,303.15,101.0,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000514,1.05e-05,10.1007/s10765-011-0989-8
197,d13369ccc407497a8d7fe50169fed67c,298.15,101.0,Liquid,1,CO[PH](=O)OC,Solvent,1.0,,,,,,,,,,0.001273,2.65e-05,10.1007/s10765-011-0989-8
198,e4e6b764da4e437583d2bd1f75af5bf9,303.15,101.0,Liquid,1,CO[PH](=O)OC,Solvent,1.0,,,,,,,,,,0.001179,2.45e-05,10.1007/s10765-011-0989-8
267,dcdc666318574920b0d64736a55a9228,298.15,101.0,Liquid,1,CO,Solvent,1.0,,,,,,,,,,0.000552,1.15e-05,10.1007/s10765-011-0989-8
